Question,Answer
Which nation invaded Singapore during World War II?,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore."
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days
Was Lee Kuan Yew a successful leader of Singapore?,yes
Was Lee Kuan Yew a successful leader of Singapore?,Yes.
When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister."
What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.
What is the national language of Singapore?,The national language of Singapore is Malay.
Where is the National Orchid Garden?,Singapore Botanic Gardens.
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important."
What is the most densely populated independent country in the world?,Monaco
Who did Sir Thomas Stamford Raffles work for?,British East India Company
When was Lee Kuan Yew prime minister of Singapore?,1959
What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
What established a trading post on the island in 1819?,British East India Company 
What used Singapore as a strategic trading post along the spice route?,British
What became one of the most important commercial and military centres of the British Empire?,Singapore
"Who boasted a sizeable community of 100,000 by 1869?",British India office
How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. "
Is it true that singapore has several long - standing disputes with malaysia?,Yes
Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes
Has Singapore a network of reservoirs and water catchment areas ?,Yes
"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes
"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No
"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes
Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No
Was Thedore Roosevelt  a member of the Republican Party?,Yes
Was Thedore Roosevelt  a member of the Republican Party?,Yes
Does Theodore Roosevelt have a brother?,Yes
Does Theodore Roosevelt have a brother?,Yes
Did Theodore Roosevelt go to Harvard?,Yes
Did Theodore Roosevelt go to Harvard?,Yes
Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City
Where was Theodore Roosevelt born?,"a four-story brownstone at 28 East 20th Street, in the modern-day Gramercy section of New York City"
What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise
What did Roosevelt do to improve his physical condition?,He started boxing
Why did Roosevelt start Boxing lessons?,To deal with bullies
Why did Roosevelt start Boxing lessons?,To deal with bullies
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie
What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it
What was Roosevelt's justification for supporting desegregation of schools in New York?,that his children had been educated with other races and there was nothing wrong with it
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,They outraged.
Did Theodore Roosevelt study Judo?,No
Did Theodore Roosevelt study Judo?,No clue
Did Roosevelt receive a Medal of Honor?,yes
Did Roosevelt receive a Medal of Honor?,nein
Did Roosevelt study biology?,yes
Did Roosevelt study biology?,He was strong in biology.
Where was Theodore Roosevelt from?,Gramercy section of New York City
Where was Theodore Roosevelt from?,New York City
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.
Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings
Who helped to fund Roosevelt's African safari?,Andrew Carnegie
Did Roosevelt support racial integration in schools?,yes
Did Roosevelt support racial integration in schools?,He supported a bill allowing school desegregation in New York State.
Was Roosevelt's family rich?,yes
Are turtles ectothermic?,Yes
Are turtles ectothermic?,yes
Does the mother care for the young?,No
Does the mother care for the young?,no
Are turtles pets?,Yes
Are turtles pets?,yes
What shape are the eggs of the larest species of turtle?,Spherical
What shape are the eggs of the larest species of turtle?,spherical
How often do turtles breed?,Every few years or more
What do all turtles and tortoises breathe?,air
What do all turtles and tortoises breathe?,air
How do turtles reproduce?,They lay eggs
How do turtles reproduce?,they lay eggs
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time
What has been discovered about turtles organs?,they do not break down
What suborder of turtle draws its head into its shell?,Pleurodira
What suborder of turtle draws its head into its shell?,Pleurodira
Do sea turtles lay eggs on dry sandy beaches?,Yes
Do sea turtles lay eggs on dry sandy beaches?,yes
Are Pleurodira known as side-necked turtles?,Yes
Are Pleurodira known as side-necked turtles?,yes
Are turtles a part of the Flying Spaghetti Monster?,*shrug*
How many suborders are turtles divided into?,Three.
How many suborders are turtles divided into?,three
Name a turtle popularly kept as a pet.,Russian Tortoises
Name a turtle popularly kept as a pet.,Russian Tortoises
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.
"If a turtle egg was kept warm, what would likely hatch?",A female turtle
What do turles use to breathe in the water?,Papillae
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.
Why are side-necked turtles called side-necked turtles?,The way they withdraw their heads into their shells.
Do turtles lay eggs underwater?,No
Do turtles lay eggs underwater?,no
Are turtle eggs leathery and soft?,Yes
Are turtle eggs leathery and soft?,yes
Are turtles being examined for longevity genes?,Yes
Are turtles being examined for longevity genes?,yes
What suborder of turtles is extinct?,Paracryptodira
What suborder of turtles is extinct?,Paracryptodira
What do turtle eggs preared to eat consist mainly of?,Yolk
Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand
Where do sea turtles lay their eggs?,holes dug into mud or sand
What is the smallest suborder of turtles?,Pleurodira
What is the smallest suborder of turtles?,Pleurodira
What are turtle eggs covered in when they incubate?,Mud or Sand
What are turtle eggs covered in when they incubate?,mud or sand
What type of creatures breathe air and don't lay eggs underwater?,Amniotes
What type of creatures breathe air and don't lay eggs underwater?,amnoites
What are deposited in holes dug into mud or sand?,eggs
What sort of turtles are ectothermic?,all of them
Are turtles ectothermic?,yes
Are the largest turtles aquatic?,yes
Is aquatic respiration in Australian freshwater turtles being studied?,yes
